t con 25 procesos,t con 50 procesos,t con 100 procesos,t con 150 procesos,t con 200 procesos
2.0,1.0,2.0,1.0,1
3.0,2.0,2.0,1.0,1
4.0,3.0,2.0,1.0,1
5.0,4.0,2.0,2.0,1
5.0,5.0,3.0,3.0,1
6.0,6.0,4.0,4.0,1
6.0,6.0,4.0,5.0,2
6.0,7.0,5.0,5.0,3
7.0,7.0,5.0,6.0,3
7.0,7.0,6.0,7.0,4
8.0,7.0,7.0,8.0,5
8.0,8.0,8.0,9.0,5
9.0,8.0,8.0,10.0,6
10.0,9.0,9.0,10.0,7
11.0,9.0,9.0,10.0,7
12.0,10.0,10.0,10.0,8
13.0,10.0,11.0,10.0,8
13.0,10.0,12.0,10.0,8
14.0,10.0,13.0,10.0,9
15.0,11.0,13.0,11.0,10
16.0,12.0,13.0,12.0,10
16.0,12.0,13.0,12.0,11
16.0,13.0,14.0,13.0,12
16.0,13.0,15.0,14.0,13
17.0,13.0,15.0,15.0,14
,14.0,16.0,16.0,14
,15.0,17.0,17.0,15
,16.0,18.0,18.0,16
,16.0,18.0,18.0,16
,16.0,18.0,18.0,16
,17.0,19.0,19.0,17
,17.0,19.0,20.0,17
,18.0,19.0,21.0,18
,18.0,19.0,21.0,18
,18.0,20.0,21.0,18
,19.0,20.0,21.0,18
,19.0,21.0,22.0,19
,20.0,22.0,22.0,19
,20.0,23.0,22.0,20
,21.0,23.0,23.0,20
,22.0,24.0,23.0,20
,22.0,24.0,23.0,21
,22.0,24.0,24.0,22
,23.0,24.0,24.0,23
,23.0,24.0,24.0,24
,23.0,24.0,25.0,25
,23.0,25.0,26.0,26
,24.0,26.0,26.0,26
,24.0,26.0,26.0,27
,25.0,26.0,26.0,28
,,27.0,27.0,28
,,27.0,27.0,28
,,28.0,28.0,28
,,29.0,28.0,28
,,29.0,28.0,29
,,30.0,28.0,30
,,30.0,29.0,31
,,30.0,30.0,31
,,31.0,31.0,31
,,32.0,32.0,32
,,33.0,33.0,33
,,34.0,34.0,34
,,34.0,34.0,34
,,34.0,34.0,35
,,34.0,34.0,35
,,34.0,34.0,36
,,35.0,34.0,37
,,36.0,35.0,37
,,37.0,35.0,38
,,37.0,36.0,38
,,37.0,37.0,39
,,38.0,37.0,40
,,39.0,38.0,41
,,40.0,39.0,42
,,41.0,39.0,43
,,41.0,40.0,43
,,41.0,41.0,43
,,42.0,42.0,44
,,42.0,42.0,45
,,43.0,42.0,46
,,43.0,42.0,47
,,44.0,43.0,47
,,45.0,44.0,48
,,45.0,44.0,48
,,46.0,44.0,48
,,46.0,45.0,48
,,46.0,45.0,48
,,46.0,46.0,49
,,46.0,46.0,49
,,47.0,47.0,49
,,47.0,47.0,50
,,48.0,47.0,50
,,48.0,47.0,50
,,48.0,47.0,50
,,49.0,48.0,50
,,50.0,48.0,51
,,50.0,49.0,51
,,50.0,50.0,52
,,50.0,50.0,52
,,51.0,50.0,53
,,,51.0,53
,,,51.0,54
,,,52.0,55
,,,52.0,56
,,,52.0,56
,,,52.0,56
,,,53.0,57
,,,54.0,57
,,,55.0,57
,,,55.0,58
,,,56.0,59
,,,56.0,60
,,,57.0,60
,,,57.0,61
,,,58.0,61
,,,58.0,61
,,,58.0,62
,,,58.0,62
,,,59.0,62
,,,59.0,62
,,,59.0,62
,,,59.0,62
,,,60.0,62
,,,61.0,62
,,,61.0,62
,,,62.0,62
,,,63.0,63
,,,64.0,63
,,,64.0,64
,,,64.0,64
,,,64.0,64
,,,65.0,65
,,,65.0,66
,,,66.0,67
,,,67.0,68
,,,67.0,69
,,,68.0,70
,,,69.0,71
,,,69.0,71
,,,70.0,72
,,,70.0,73
,,,71.0,73
,,,71.0,73
,,,72.0,74
,,,73.0,75
,,,74.0,76
,,,74.0,77
,,,75.0,78
,,,76.0,79
,,,76.0,80
,,,,81
,,,,81
,,,,81
,,,,82
,,,,82
,,,,82
,,,,82
,,,,83
,,,,83
,,,,84
,,,,85
,,,,86
,,,,86
,,,,86
,,,,86
,,,,87
,,,,87
,,,,88
,,,,89
,,,,89
,,,,90
,,,,90
,,,,90
,,,,90
,,,,90
,,,,91
,,,,92
,,,,92
,,,,93
,,,,94
,,,,95
,,,,96
,,,,97
,,,,97
,,,,98
,,,,99
,,,,99
,,,,100
,,,,101
,,,,101
,,,,101
,,,,102
,,,,103
,,,,103
,,,,104
,,,,105
,,,,106
,,,,106
,,,,106
,,,,107
