t con 25 procesos,t con 50 procesos,t con 100 procesos,t con 150 procesos,t con 200 procesos
5.0,5.0,7.0,4.0,5
6.0,13.0,10.0,8.0,8
14.0,22.0,16.0,16.0,10
17.0,24.0,24.0,19.0,16
22.0,27.0,26.0,26.0,25
30.0,33.0,36.0,29.0,27
34.0,35.0,45.0,36.0,36
35.0,41.0,53.0,43.0,38
43.0,44.0,62.0,44.0,39
47.0,53.0,70.0,52.0,40
49.0,58.0,76.0,52.0,46
57.0,61.0,81.0,53.0,49
58.0,69.0,81.0,56.0,50
65.0,72.0,87.0,58.0,54
69.0,76.0,91.0,67.0,62
74.0,80.0,91.0,73.0,67
74.0,84.0,96.0,75.0,68
77.0,88.0,103.0,84.0,72
84.0,98.0,106.0,85.0,81
90.0,100.0,109.0,88.0,88
90.0,106.0,112.0,89.0,89
91.0,116.0,113.0,98.0,94
97.0,117.0,118.0,105.0,101
106.0,120.0,119.0,109.0,110
109.0,127.0,125.0,114.0,115
,137.0,135.0,120.0,117
,138.0,140.0,127.0,124
,141.0,148.0,134.0,126
,143.0,154.0,137.0,127
,150.0,164.0,145.0,134
,159.0,168.0,148.0,138
,163.0,172.0,149.0,141
,165.0,180.0,158.0,143
,171.0,189.0,165.0,150
,175.0,198.0,173.0,159
,177.0,206.0,178.0,166
,186.0,213.0,180.0,172
,189.0,214.0,185.0,180
,192.0,217.0,190.0,188
,193.0,224.0,196.0,192
,198.0,226.0,204.0,196
,201.0,227.0,213.0,199
,210.0,228.0,215.0,201
,211.0,230.0,220.0,202
,214.0,239.0,224.0,208
,222.0,248.0,225.0,211
,226.0,249.0,229.0,218
,233.0,259.0,231.0,222
,238.0,261.0,240.0,226
,245.0,262.0,248.0,235
,,268.0,254.0,244
,,268.0,260.0,253
,,274.0,266.0,261
,,280.0,274.0,262
,,285.0,277.0,270
,,287.0,286.0,271
,,294.0,293.0,272
,,295.0,297.0,276
,,295.0,303.0,282
,,297.0,307.0,285
,,298.0,309.0,289
,,301.0,312.0,295
,,305.0,315.0,301
,,308.0,317.0,303
,,317.0,326.0,312
,,321.0,330.0,322
,,331.0,335.0,330
,,333.0,345.0,339
,,341.0,352.0,344
,,343.0,361.0,354
,,348.0,366.0,362
,,357.0,369.0,371
,,360.0,376.0,376
,,361.0,383.0,382
,,370.0,383.0,382
,,377.0,388.0,391
,,387.0,393.0,392
,,388.0,399.0,399
,,394.0,402.0,407
,,399.0,412.0,409
,,408.0,416.0,412
,,414.0,421.0,415
,,416.0,429.0,423
,,424.0,437.0,427
,,430.0,438.0,427
,,440.0,438.0,432
,,443.0,445.0,437
,,453.0,455.0,437
,,460.0,460.0,442
,,463.0,463.0,451
,,464.0,465.0,457
,,467.0,468.0,461
,,470.0,474.0,463
,,473.0,476.0,471
,,478.0,479.0,480
,,479.0,482.0,487
,,481.0,483.0,488
,,487.0,491.0,490
,,495.0,498.0,495
,,504.0,499.0,496
,,,504.0,505
,,,505.0,513
,,,511.0,513
,,,520.0,515
,,,526.0,516
,,,530.0,522
,,,532.0,526
,,,533.0,535
,,,537.0,538
,,,543.0,542
,,,548.0,548
,,,554.0,551
,,,557.0,559
,,,566.0,566
,,,573.0,575
,,,578.0,576
,,,579.0,585
,,,586.0,585
,,,593.0,586
,,,594.0,594
,,,601.0,600
,,,605.0,607
,,,611.0,611
,,,620.0,614
,,,621.0,617
,,,628.0,619
,,,630.0,620
,,,637.0,628
,,,647.0,637
,,,650.0,641
,,,653.0,649
,,,654.0,654
,,,658.0,656
,,,664.0,661
,,,668.0,662
,,,672.0,672
,,,678.0,680
,,,681.0,684
,,,685.0,691
,,,686.0,700
,,,695.0,709
,,,702.0,712
,,,706.0,718
,,,710.0,721
,,,713.0,722
,,,714.0,728
,,,722.0,734
,,,724.0,737
,,,727.0,738
,,,737.0,744
,,,,745
,,,,753
,,,,759
,,,,768
,,,,772
,,,,774
,,,,782
,,,,787
,,,,794
,,,,800
,,,,803
,,,,805
,,,,806
,,,,811
,,,,817
,,,,820
,,,,823
,,,,832
,,,,840
,,,,848
,,,,852
,,,,859
,,,,861
,,,,862
,,,,872
,,,,880
,,,,889
,,,,892
,,,,901
,,,,910
,,,,912
,,,,917
,,,,924
,,,,928
,,,,932
,,,,936
,,,,943
,,,,946
,,,,948
,,,,950
,,,,951
,,,,951
,,,,958
,,,,967
,,,,974
,,,,977
,,,,981
,,,,982
,,,,982
,,,,984
