t con 25 procesos,t con 50 procesos,t con 100 procesos,t con 150 procesos,t con 200 procesos
2.0,1.0,1.0,2.0,2
2.0,1.0,1.0,3.0,3
4.0,1.0,3.0,4.0,4
5.0,3.0,5.0,6.0,5
5.0,4.0,5.0,6.0,6
7.0,4.0,5.0,6.0,7
7.0,6.0,5.0,7.0,7
9.0,6.0,6.0,9.0,9
11.0,7.0,7.0,10.0,9
11.0,8.0,8.0,11.0,10
12.0,10.0,9.0,11.0,10
13.0,11.0,9.0,11.0,11
14.0,11.0,10.0,13.0,11
15.0,13.0,11.0,14.0,12
15.0,14.0,12.0,15.0,12
16.0,14.0,13.0,17.0,13
16.0,16.0,14.0,18.0,15
18.0,18.0,15.0,19.0,16
19.0,18.0,15.0,20.0,17
19.0,18.0,16.0,20.0,17
20.0,18.0,18.0,21.0,18
22.0,19.0,18.0,22.0,18
24.0,21.0,18.0,23.0,18
24.0,22.0,19.0,25.0,19
24.0,24.0,20.0,27.0,20
,24.0,21.0,28.0,21
,25.0,21.0,30.0,21
,27.0,23.0,30.0,22
,28.0,25.0,31.0,22
,29.0,26.0,33.0,23
,29.0,26.0,34.0,23
,29.0,26.0,36.0,24
,30.0,27.0,37.0,25
,30.0,27.0,37.0,26
,31.0,28.0,38.0,28
,32.0,28.0,39.0,30
,33.0,29.0,40.0,30
,35.0,29.0,41.0,30
,36.0,29.0,43.0,31
,37.0,30.0,43.0,32
,38.0,32.0,44.0,33
,40.0,32.0,45.0,34
,42.0,32.0,45.0,35
,43.0,32.0,46.0,35
,44.0,34.0,48.0,36
,45.0,35.0,49.0,37
,47.0,35.0,51.0,38
,48.0,36.0,53.0,39
,49.0,37.0,53.0,39
,49.0,38.0,53.0,40
,,38.0,54.0,41
,,40.0,54.0,42
,,40.0,55.0,42
,,41.0,56.0,43
,,42.0,57.0,43
,,43.0,57.0,45
,,44.0,58.0,47
,,45.0,58.0,48
,,45.0,60.0,49
,,45.0,62.0,50
,,45.0,63.0,50
,,47.0,64.0,51
,,48.0,65.0,52
,,49.0,66.0,53
,,49.0,68.0,54
,,50.0,69.0,55
,,51.0,71.0,56
,,51.0,71.0,58
,,52.0,73.0,58
,,52.0,73.0,58
,,53.0,73.0,59
,,53.0,73.0,59
,,54.0,74.0,60
,,55.0,75.0,60
,,57.0,76.0,60
,,58.0,77.0,60
,,58.0,77.0,61
,,60.0,78.0,62
,,60.0,78.0,62
,,61.0,78.0,63
,,63.0,80.0,63
,,63.0,82.0,63
,,63.0,83.0,63
,,63.0,84.0,64
,,65.0,84.0,64
,,66.0,85.0,64
,,67.0,85.0,66
,,68.0,85.0,67
,,70.0,86.0,68
,,71.0,86.0,69
,,71.0,87.0,69
,,73.0,88.0,69
,,75.0,89.0,70
,,76.0,90.0,71
,,77.0,91.0,71
,,78.0,91.0,71
,,79.0,91.0,72
,,79.0,91.0,74
,,80.0,91.0,76
,,81.0,91.0,77
,,,91.0,77
,,,92.0,79
,,,93.0,80
,,,94.0,80
,,,94.0,82
,,,95.0,83
,,,95.0,85
,,,95.0,86
,,,95.0,86
,,,96.0,87
,,,98.0,87
,,,100.0,87
,,,100.0,87
,,,102.0,89
,,,103.0,90
,,,104.0,91
,,,104.0,92
,,,104.0,92
,,,105.0,94
,,,105.0,96
,,,105.0,98
,,,106.0,100
,,,107.0,101
,,,109.0,102
,,,110.0,103
,,,111.0,103
,,,111.0,103
,,,111.0,103
,,,111.0,103
,,,112.0,104
,,,112.0,106
,,,112.0,108
,,,112.0,108
,,,112.0,108
,,,113.0,108
,,,114.0,109
,,,114.0,109
,,,115.0,110
,,,117.0,111
,,,118.0,111
,,,120.0,111
,,,120.0,112
,,,121.0,114
,,,123.0,116
,,,124.0,118
,,,124.0,119
,,,126.0,121
,,,127.0,121
,,,127.0,122
,,,128.0,124
,,,,124
,,,,125
,,,,125
,,,,127
,,,,127
,,,,127
,,,,128
,,,,129
,,,,130
,,,,130
,,,,132
,,,,133
,,,,135
,,,,136
,,,,137
,,,,138
,,,,139
,,,,139
,,,,140
,,,,142
,,,,142
,,,,142
,,,,143
,,,,145
,,,,146
,,,,147
,,,,148
,,,,150
,,,,152
,,,,154
,,,,155
,,,,157
,,,,157
,,,,157
,,,,158
,,,,158
,,,,158
,,,,159
,,,,160
,,,,161
,,,,162
,,,,162
,,,,162
,,,,163
,,,,164
,,,,165
,,,,166
,,,,167
,,,,168
,,,,169
