t con 25 procesos,t con 50 procesos,t con 100 procesos,t con 150 procesos,t con 200 procesos
2.0,1.0,2.0,2.0,1
2.0,2.0,4.0,4.0,3
3.0,4.0,6.0,5.0,5
4.0,6.0,7.0,6.0,5
4.0,7.0,7.0,7.0,6
4.0,9.0,8.0,9.0,7
5.0,10.0,10.0,10.0,8
5.0,12.0,12.0,12.0,9
7.0,12.0,12.0,13.0,10
7.0,13.0,12.0,14.0,11
8.0,14.0,14.0,15.0,12
9.0,14.0,16.0,15.0,14
10.0,16.0,17.0,17.0,15
10.0,17.0,18.0,17.0,15
10.0,17.0,19.0,18.0,16
11.0,19.0,19.0,19.0,17
11.0,20.0,20.0,19.0,18
13.0,21.0,21.0,20.0,20
14.0,23.0,23.0,21.0,22
16.0,23.0,24.0,23.0,23
17.0,25.0,24.0,24.0,24
19.0,27.0,26.0,24.0,25
19.0,28.0,28.0,25.0,26
21.0,30.0,28.0,27.0,27
22.0,32.0,28.0,28.0,29
,33.0,28.0,30.0,29
,34.0,29.0,30.0,30
,34.0,30.0,30.0,31
,35.0,31.0,32.0,32
,37.0,33.0,32.0,33
,39.0,33.0,32.0,35
,39.0,33.0,34.0,37
,40.0,35.0,35.0,38
,42.0,35.0,35.0,38
,44.0,35.0,37.0,39
,46.0,37.0,37.0,40
,47.0,38.0,39.0,41
,48.0,38.0,39.0,42
,48.0,40.0,40.0,44
,49.0,41.0,40.0,45
,51.0,42.0,42.0,47
,52.0,44.0,42.0,47
,52.0,46.0,43.0,49
,53.0,48.0,44.0,49
,54.0,49.0,46.0,49
,54.0,51.0,47.0,50
,54.0,52.0,49.0,52
,54.0,53.0,51.0,52
,55.0,54.0,51.0,53
,56.0,55.0,52.0,55
,,56.0,54.0,56
,,58.0,54.0,57
,,59.0,55.0,58
,,61.0,56.0,60
,,63.0,57.0,62
,,64.0,58.0,62
,,65.0,59.0,62
,,66.0,59.0,63
,,67.0,61.0,64
,,69.0,61.0,66
,,70.0,62.0,66
,,71.0,62.0,67
,,72.0,63.0,68
,,72.0,63.0,69
,,73.0,64.0,70
,,74.0,65.0,70
,,75.0,65.0,71
,,77.0,66.0,71
,,78.0,67.0,71
,,80.0,68.0,71
,,81.0,69.0,72
,,82.0,69.0,73
,,83.0,71.0,73
,,85.0,73.0,74
,,86.0,75.0,75
,,86.0,76.0,76
,,86.0,77.0,77
,,87.0,78.0,77
,,88.0,80.0,77
,,88.0,81.0,77
,,90.0,81.0,77
,,92.0,81.0,77
,,93.0,83.0,78
,,94.0,84.0,80
,,95.0,85.0,82
,,96.0,87.0,82
,,97.0,88.0,82
,,99.0,90.0,82
,,101.0,92.0,84
,,101.0,92.0,85
,,102.0,94.0,86
,,103.0,95.0,87
,,104.0,96.0,88
,,105.0,97.0,88
,,106.0,98.0,89
,,107.0,99.0,89
,,109.0,99.0,91
,,111.0,99.0,91
,,111.0,100.0,91
,,112.0,101.0,93
,,,101.0,95
,,,102.0,95
,,,103.0,96
,,,104.0,97
,,,105.0,98
,,,106.0,98
,,,107.0,99
,,,108.0,101
,,,108.0,102
,,,109.0,103
,,,110.0,103
,,,111.0,105
,,,111.0,105
,,,112.0,105
,,,113.0,106
,,,113.0,106
,,,114.0,108
,,,115.0,109
,,,117.0,110
,,,118.0,111
,,,118.0,113
,,,120.0,113
,,,121.0,114
,,,123.0,114
,,,123.0,116
,,,125.0,117
,,,127.0,117
,,,128.0,118
,,,128.0,119
,,,128.0,119
,,,129.0,121
,,,131.0,123
,,,132.0,125
,,,133.0,126
,,,133.0,127
,,,135.0,128
,,,135.0,129
,,,136.0,130
,,,138.0,130
,,,139.0,130
,,,139.0,132
,,,140.0,133
,,,140.0,134
,,,140.0,135
,,,141.0,136
,,,143.0,136
,,,144.0,137
,,,145.0,138
,,,146.0,139
,,,147.0,140
,,,,142
,,,,142
,,,,144
,,,,145
,,,,147
,,,,148
,,,,149
,,,,150
,,,,151
,,,,152
,,,,154
,,,,155
,,,,157
,,,,157
,,,,159
,,,,161
,,,,162
,,,,163
,,,,163
,,,,163
,,,,163
,,,,165
,,,,166
,,,,168
,,,,168
,,,,168
,,,,170
,,,,171
,,,,172
,,,,174
,,,,176
,,,,176
,,,,177
,,,,178
,,,,179
,,,,179
,,,,180
,,,,182
,,,,182
,,,,184
,,,,184
,,,,184
,,,,185
,,,,185
,,,,187
,,,,188
,,,,189
,,,,189
,,,,189
,,,,190
